user_id,product_id,category,price_tier,price,avg_rating,review_count,session_duration_seconds,time_of_day,day_of_week,is_weekend,page_views_in_session,items_in_cart,user_total_purchases,purchased,interaction_date
USER_00538,PROD_0164,Books,budget,8.79,4.6,1948,317,13,6,1,13,1,48,1,2024-12-22
USER_00551,PROD_0243,Electronics,budget,10.87,4.1,800,157,7,4,0,15,0,35,1,2024-05-03
USER_00423,PROD_0496,Toys,premium,215.49,4.5,1681,407,17,3,0,8,2,13,0,2024-08-01
USER_00339,PROD_0332,Beauty,luxury,463.8,3.5,1982,104,14,5,1,18,5,12,0,2024-02-10
USER_00053,PROD_0138,Beauty,mid-range,37.13,4.5,1746,50,21,4,0,3,1,48,0,2024-07-12
USER_00602,PROD_0371,Home & Kitchen,luxury,492.19,5.0,1946,223,17,0,0,11,2,0,1,2024-12-09
USER_00217,PROD_0480,Toys,premium,244.66,3.8,1677,500,23,6,1,8,5,38,1,2024-04-07
USER_00721,PROD_0105,Sports,mid-range,80.28,3.8,823,299,7,0,0,13,3,34,0,2024-07-22
USER_00665,PROD_0184,Sports,luxury,978.34,3.9,841,519,8,3,0,15,0,46,0,2024-06-06
USER_00481,PROD_0390,Books,budget,8.13,3.6,156,433,6,2,0,2,4,14,0,2024-06-12
USER_00760,PROD_0075,Sports,luxury,692.63,3.2,1940,437,8,1,0,10,1,12,0,2024-01-09
USER_00338,PROD_0118,Electronics,mid-range,88.3,3.8,1581,521,18,5,1,18,5,43,0,2024-07-13
USER_00346,PROD_0132,Toys,budget,20.53,3.5,974,512,23,5,1,15,1,46,0,2024-09-07
USER_00815,PROD_0181,Toys,budget,29.99,4.3,556,510,4,2,0,6,4,41,0,2024-03-27
USER_00981,PROD_0031,Electronics,premium,268.33,4.0,412,86,1,2,0,2,0,26,0,2024-09-25
USER_00141,PROD_0432,Books,budget,9.77,3.9,862,164,7,0,0,1,1,32,1,2024-11-18
USER_00467,PROD_0192,Sports,budget,5.72,4.3,1641,504,19,2,0,16,0,0,0,2024-01-31
USER_00545,PROD_0283,Electronics,budget,23.65,3.4,864,291,0,0,0,18,2,1,1,2024-07-29
USER_00515,PROD_0417,Electronics,luxury,335.81,4.1,747,193,21,0,0,4,0,33,0,2024-12-23
USER_00153,PROD_0124,Beauty,mid-range,88.84,4.8,1279,372,19,0,0,9,3,5,0,2024-04-08
USER_00383,PROD_0492,Toys,budget,11.02,3.1,1221,241,14,4,0,10,5,5,0,2024-07-26
USER_00670,PROD_0440,Toys,premium,240.98,4.4,1006,398,1,3,0,13,4,30,1,2024-11-28
USER_00058,PROD_0327,Electronics,premium,268.89,3.2,1583,521,22,4,0,14,5,50,0,2024-01-05
USER_00340,PROD_0290,Sports,budget,5.19,3.6,437,245,16,6,1,7,5,36,0,2024-02-18
USER_00487,PROD_0139,Beauty,budget,24.91,4.1,89,297,2,2,0,18,4,42,0,2024-01-24
USER_00034,PROD_0092,Sports,mid-range,47.83,4.4,8,157,0,0,0,13,0,19,0,2024-06-10
USER_00167,PROD_0289,Beauty,luxury,668.85,3.6,456,408,18,4,0,18,2,24,0,2024-05-03
USER_00774,PROD_0379,Clothing,luxury,662.42,4.8,246,522,22,1,0,12,0,6,0,2024-03-12
USER_00448,PROD_0119,Books,budget,26.42,4.5,784,416,10,3,0,11,0,40,0,2024-02-08
USER_00280,PROD_0402,Beauty,premium,196.59,4.6,1407,576,15,6,1,13,3,11,1,2024-08-18
USER_00697,PROD_0300,Electronics,luxury,909.37,4.5,458,312,12,2,0,8,5,4,1,2024-12-04
USER_00085,PROD_0138,Beauty,mid-range,37.13,4.5,1746,167,12,1,0,13,2,23,0,2024-03-19
USER_00110,PROD_0047,Beauty,budget,6.52,4.5,1644,286,9,2,0,4,1,5,1,2024-01-03
USER_00192,PROD_0221,Electronics,luxury,961.66,5.0,617,427,17,5,1,4,0,5,0,2024-08-17
USER_00363,PROD_0284,Sports,premium,131.48,3.6,669,342,19,5,1,13,0,18,0,2024-02-17
USER_00424,PROD_0199,Toys,luxury,537.91,4.6,552,258,23,1,0,19,4,10,0,2024-02-13
USER_00702,PROD_0195,Electronics,mid-range,64.89,4.4,1047,284,4,2,0,16,1,4,1,2024-03-27
USER_00172,PROD_0223,Clothing,luxury,897.33,3.2,786,88,13,1,0,12,2,15,0,2024-05-21
USER_00739,PROD_0321,Home & Kitchen,premium,293.54,4.4,807,478,19,1,0,4,1,19,0,2024-09-10
USER_00007,PROD_0486,Toys,mid-range,75.75,3.7,370,399,10,6,1,11,3,21,0,2024-07-21
USER_00441,PROD_0418,Books,premium,114.71,4.0,1570,338,19,4,0,20,5,12,1,2024-11-29
